what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1358398185902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358398187565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358398192333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1358398192336
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1358398192336
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358398193751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358398238398
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1358398250080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358398255783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358398258858
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1358398258862
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358398259103
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1358398260197
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358398263191
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358398263213
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1358398264394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358398267658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358398285767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358398293710
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358398299342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358398304353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358398332031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1358398332035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1358398333537
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1358398334763
